sensor_id;sensor_type;location;lat;lon;timestamp;value_type;value
4925;DHT22;3978;-0.271;36.104;2025-02-28T13:18:10.677817+00:00;temperature;30.00
4924;pms5003;3978;-0.271;36.104;2025-02-28T13:20:57.462634+00:00;P2;23.25
4924;pms5003;3978;-0.271;36.104;2025-02-28T13:20:57.462634+00:00;P1;23.25
4924;pms5003;3978;-0.271;36.104;2025-02-28T13:20:57.462634+00:00;P0;15.00
4925;DHT22;3978;-0.271;36.104;2025-02-28T13:21:19.305119+00:00;humidity;26.60
4925;DHT22;3978;-0.271;36.104;2025-02-28T13:21:19.305119+00:00;temperature;30.00
4924;pms5003;3978;-0.271;36.104;2025-02-28T13:24:05.785415+00:00;P2;26.00
4924;pms5003;3978;-0.271;36.104;2025-02-28T13:24:05.785415+00:00;P1;29.00
4924;pms5003;3978;-0.271;36.104;2025-02-28T13:24:05.785415+00:00;P0;17.60
4925;DHT22;3978;-0.271;36.104;2025-02-28T13:24:27.429090+00:00;humidity;26.00
4925;DHT22;3978;-0.271;36.104;2025-02-28T13:24:27.429090+00:00;temperature;30.00
4924;pms5003;3978;-0.271;36.104;2025-02-28T13:27:14.182785+00:00;P2;29.00
4924;pms5003;3978;-0.271;36.104;2025-02-28T13:27:14.182785+00:00;P1;31.00
4924;pms5003;3978;-0.271;36.104;2025-02-28T13:27:14.182785+00:00;P0;21.80
4925;DHT22;3978;-0.271;36.104;2025-02-28T13:27:35.843111+00:00;humidity;26.30
4925;DHT22;3978;-0.271;36.104;2025-02-28T13:27:35.843111+00:00;temperature;30.00
4924;pms5003;3978;-0.271;36.104;2025-02-28T13:30:22.324484+00:00;P2;27.20
4924;pms5003;3978;-0.271;36.104;2025-02-28T13:30:22.324484+00:00;P1;27.60
4924;pms5003;3978;-0.271;36.104;2025-02-28T13:30:22.324484+00:00;P0;17.60
4925;DHT22;3978;-0.271;36.104;2025-02-28T13:30:43.938046+00:00;humidity;26.90
4925;DHT22;3978;-0.271;36.104;2025-02-28T13:30:43.938046+00:00;temperature;29.90
4924;pms5003;3978;-0.271;36.104;2025-02-28T13:33:30.810315+00:00;P2;38.00
4924;pms5003;3978;-0.271;36.104;2025-02-28T13:33:30.810315+00:00;P1;44.60
4924;pms5003;3978;-0.271;36.104;2025-02-28T13:33:30.810315+00:00;P0;28.00
4925;DHT22;3978;-0.271;36.104;2025-02-28T13:33:53.093721+00:00;humidity;26.10
4925;DHT22;3978;-0.271;36.104;2025-02-28T13:33:53.093721+00:00;temperature;29.90
4924;pms5003;3978;-0.271;36.104;2025-02-28T13:36:39.595884+00:00;P2;32.60
4924;pms5003;3978;-0.271;36.104;2025-02-28T13:36:39.595884+00:00;P1;41.20
4924;pms5003;3978;-0.271;36.104;2025-02-28T13:36:39.595884+00:00;P0;21.00
4925;DHT22;3978;-0.271;36.104;2025-02-28T13:37:01.200923+00:00;humidity;26.00
4925;DHT22;3978;-0.271;36.104;2025-02-28T13:37:01.200923+00:00;temperature;29.70
4925;DHT22;3978;-0.271;36.104;2025-02-28T13:40:09.668585+00:00;humidity;26.40
4925;DHT22;3978;-0.271;36.104;2025-02-28T13:40:09.668585+00:00;temperature;29.80
4924;pms5003;3978;-0.271;36.104;2025-02-28T13:42:56.159372+00:00;P2;33.00
4924;pms5003;3978;-0.271;36.104;2025-02-28T13:42:56.159372+00:00;P1;36.00
4924;pms5003;3978;-0.271;36.104;2025-02-28T13:42:56.159372+00:00;P0;22.00
4925;DHT22;3978;-0.271;36.104;2025-02-28T13:43:17.823344+00:00;humidity;26.70
4925;DHT22;3978;-0.271;36.104;2025-02-28T13:43:17.823344+00:00;temperature;29.90
4924;pms5003;3978;-0.271;36.104;2025-02-28T13:46:04.589849+00:00;P2;36.50
4924;pms5003;3978;-0.271;36.104;2025-02-28T13:46:04.589849+00:00;P1;42.75
4924;pms5003;3978;-0.271;36.104;2025-02-28T13:46:04.589849+00:00;P0;24.00
4925;DHT22;3978;-0.271;36.104;2025-02-28T13:46:26.260880+00:00;humidity;26.70
4925;DHT22;3978;-0.271;36.104;2025-02-28T13:46:26.260880+00:00;temperature;29.90
4924;pms5003;3978;-0.271;36.104;2025-02-28T13:49:12.799481+00:00;P2;29.00
4924;pms5003;3978;-0.271;36.104;2025-02-28T13:49:12.799481+00:00;P1;30.00
4924;pms5003;3978;-0.271;36.104;2025-02-28T13:49:12.799481+00:00;P0;19.40
4925;DHT22;3978;-0.271;36.104;2025-02-28T13:49:34.492652+00:00;humidity;27.00
4925;DHT22;3978;-0.271;36.104;2025-02-28T13:49:34.492652+00:00;temperature;29.90
4924;pms5003;3978;-0.271;36.104;2025-02-28T13:52:21.264754+00:00;P2;29.00
4924;pms5003;3978;-0.271;36.104;2025-02-28T13:52:21.264754+00:00;P1;31.60
4924;pms5003;3978;-0.271;36.104;2025-02-28T13:52:21.264754+00:00;P0;18.60
4925;DHT22;3978;-0.271;36.104;2025-02-28T13:52:42.948292+00:00;humidity;26.70
4925;DHT22;3978;-0.271;36.104;2025-02-28T13:52:42.948292+00:00;temperature;29.80
4924;pms5003;3978;-0.271;36.104;2025-02-28T13:55:29.420298+00:00;P2;22.60
4924;pms5003;3978;-0.271;36.104;2025-02-28T13:55:29.420298+00:00;P1;24.00
4924;pms5003;3978;-0.271;36.104;2025-02-28T13:55:29.420298+00:00;P0;15.60
4925;DHT22;3978;-0.271;36.104;2025-02-28T13:55:51.260484+00:00;humidity;26.40
4925;DHT22;3978;-0.271;36.104;2025-02-28T13:55:51.260484+00:00;temperature;29.70
4924;pms5003;3978;-0.271;36.104;2025-02-28T13:58:37.979558+00:00;P2;27.00
4924;pms5003;3978;-0.271;36.104;2025-02-28T13:58:37.979558+00:00;P1;27.60
4924;pms5003;3978;-0.271;36.104;2025-02-28T13:58:37.979558+00:00;P0;19.00
4925;DHT22;3978;-0.271;36.104;2025-02-28T13:58:59.617691+00:00;humidity;27.10
4925;DHT22;3978;-0.271;36.104;2025-02-28T13:58:59.617691+00:00;temperature;29.90
4924;pms5003;3978;-0.271;36.104;2025-02-28T14:01:46.171804+00:00;P2;30.00
4924;pms5003;3978;-0.271;36.104;2025-02-28T14:01:46.171804+00:00;P1;32.50
4924;pms5003;3978;-0.271;36.104;2025-02-28T14:01:46.171804+00:00;P0;20.00
4925;DHT22;3978;-0.271;36.104;2025-02-28T14:02:07.813014+00:00;humidity;27.30
4925;DHT22;3978;-0.271;36.104;2025-02-28T14:02:07.813014+00:00;temperature;30.10
4924;pms5003;3978;-0.271;36.104;2025-02-28T14:04:54.738370+00:00;P2;32.00
4924;pms5003;3978;-0.271;36.104;2025-02-28T14:04:54.738370+00:00;P1;34.60
4924;pms5003;3978;-0.271;36.104;2025-02-28T14:04:54.738370+00:00;P0;21.20
4925;DHT22;3978;-0.271;36.104;2025-02-28T14:05:16.480384+00:00;humidity;26.40
4925;DHT22;3978;-0.271;36.104;2025-02-28T14:05:16.480384+00:00;temperature;30.10
4924;pms5003;3978;-0.271;36.104;2025-02-28T14:08:02.859283+00:00;P2;22.75
4924;pms5003;3978;-0.271;36.104;2025-02-28T14:08:02.859283+00:00;P1;23.75
4924;pms5003;3978;-0.271;36.104;2025-02-28T14:08:02.859283+00:00;P0;16.25
4925;DHT22;3978;-0.271;36.104;2025-02-28T14:08:24.589858+00:00;humidity;26.60
4925;DHT22;3978;-0.271;36.104;2025-02-28T14:08:24.589858+00:00;temperature;30.00
4924;pms5003;3978;-0.271;36.104;2025-02-28T14:11:11.408623+00:00;P2;28.50
4924;pms5003;3978;-0.271;36.104;2025-02-28T14:11:11.408623+00:00;P1;31.00
4924;pms5003;3978;-0.271;36.104;2025-02-28T14:11:11.408623+00:00;P0;18.75
4925;DHT22;3978;-0.271;36.104;2025-02-28T14:11:33.081738+00:00;humidity;26.90
4925;DHT22;3978;-0.271;36.104;2025-02-28T14:11:33.081738+00:00;temperature;29.70
4924;pms5003;3978;-0.271;36.104;2025-02-28T14:14:19.751299+00:00;P2;29.50
4924;pms5003;3978;-0.271;36.104;2025-02-28T14:14:19.751299+00:00;P1;34.00
4924;pms5003;3978;-0.271;36.104;2025-02-28T14:14:19.751299+00:00;P0;20.00
4925;DHT22;3978;-0.271;36.104;2025-02-28T14:14:41.450001+00:00;humidity;27.00
4925;DHT22;3978;-0.271;36.104;2025-02-28T14:14:41.450001+00:00;temperature;29.40
